iter	RMSE
0	13.93386734
1	13.06809786
2	12.2212142
3	11.58541105
4	10.94021025
5	10.39860047
6	9.932736365
7	9.509570093
8	9.080524732
9	8.718479332
10	8.36767603
11	8.030231894
12	7.750102727
13	7.479622844
14	7.228887403
15	7.050059266
16	6.854050076
17	6.671612222
18	6.524381738
19	6.380955872
20	6.248362714
21	6.124677228
22	6.020348815
23	5.93409716
24	5.856284234
25	5.787000156
26	5.723885082
27	5.678254027
28	5.620932365
29	5.574550067
30	5.540069022
31	5.490951017
32	5.445595621
33	5.417983248
34	5.387344715
35	5.346034288
36	5.314996441
37	5.290847764
38	5.260651665
39	5.245927648
40	5.225240545
41	5.209025121
42	5.1989605
43	5.183202207
44	5.164847568
45	5.143591058
46	5.121739506
47	5.097166305
48	5.079522148
49	5.067961139
50	5.056281576
51	5.039039176
52	5.025165078
53	5.012950417
54	4.998836864
55	4.988054557
56	4.973688624
57	4.963115949
58	4.955174879
59	4.945943311
60	4.927323737
61	4.922378881
62	4.912903952
63	4.905923484
64	4.899078106
65	4.88766742
66	4.879761444
67	4.871169683
68	4.862758336
69	4.850026272
70	4.83669309
71	4.832456577
72	4.823725274
73	4.813352528
74	4.803399376
75	4.79883489
76	4.788866453
77	4.779488788
78	4.767832342
79	4.762373278
80	4.755263899
81	4.745830333
82	4.72498782
83	4.714436536
84	4.702019148
85	4.690572042
86	4.68201686
87	4.671377205
88	4.668455368
89	4.663666242
90	4.659440404
91	4.647162685
92	4.641966256
93	4.637687554
94	4.636452074
95	4.623110327
96	4.616971622
97	4.609108134
98	4.607492913
99	4.598876717
