iter	Passed	Remaining
0	0	83
1	1	76
2	2	72
3	2	69
4	3	68
5	4	67
6	5	66
7	5	65
8	6	66
9	7	66
10	8	65
11	8	64
12	9	62
13	10	65
14	11	64
15	12	64
16	13	64
17	14	63
18	14	63
19	15	62
20	16	61
21	17	61
22	18	60
23	18	59
24	19	58
25	20	57
26	20	56
27	21	55
28	22	54
29	22	53
30	23	52
31	24	52
32	25	51
33	26	51
34	27	50
35	28	49
36	28	48
37	29	48
38	30	47
39	30	46
40	31	45
41	32	44
42	32	43
43	33	42
44	33	41
45	34	40
46	35	39
47	36	39
48	36	38
49	37	37
50	38	36
51	39	36
52	40	35
53	40	34
54	42	34
55	44	35
56	45	34
57	47	34
58	48	33
59	55	36
60	56	35
61	56	34
62	58	34
63	64	36
64	66	35
65	67	34
66	68	33
67	69	32
68	69	31
69	70	30
70	71	29
71	72	28
72	72	26
73	73	25
74	74	24
75	75	23
76	75	22
77	76	21
78	77	20
79	78	19
80	78	18
81	79	17
82	80	16
83	81	15
84	82	14
85	82	13
86	83	12
87	84	11
88	84	10
89	85	9
90	86	8
91	87	7
92	87	6
93	88	5
94	89	4
95	90	3
96	90	2
97	91	1
98	92	0
99	92	0
