iter	Passed	Remaining
0	77	77053
1	77	38898
2	78	26144
3	79	19754
4	80	15921
5	81	13466
6	82	11669
7	82	10291
8	83	9215
9	84	8352
10	85	7645
11	85	7056
12	86	6571
13	87	6185
14	88	5823
15	89	5509
16	90	5221
17	90	4962
18	91	4728
19	92	4523
20	93	4344
21	96	4290
22	97	4140
23	98	4000
24	99	3861
25	99	3732
26	100	3618
27	102	3553
28	103	3454
29	103	3358
30	104	3271
31	105	3186
32	106	3110
33	106	3038
34	108	3003
35	109	2944
36	111	2892
37	111	2834
38	112	2778
39	113	2727
40	116	2718
41	117	2672
42	118	2627
43	118	2582
44	119	2539
45	120	2498
46	121	2471
47	123	2449
48	124	2415
49	125	2377
50	125	2342
51	126	2307
52	127	2280
53	131	2297
54	132	2272
55	132	2240
56	133	2209
57	134	2180
58	135	2165
59	136	2145
60	137	2119
61	138	2092
62	138	2066
63	139	2041
64	140	2017
65	140	1995
66	142	1988
67	143	1971
68	144	1952
69	145	1933
70	146	1912
71	146	1893
72	147	1874
73	148	1857
74	149	1848
75	151	1839
76	152	1822
77	152	1806
78	153	1790
79	154	1777
80	155	1762
81	157	1760
82	157	1743
83	158	1730
84	159	1717
85	160	1703
86	160	1688
87	161	1674
88	162	1662
89	163	1657
90	164	1646
91	165	1635
92	166	1622
93	167	1610
94	167	1597
95	168	1586
96	169	1575
97	170	1570
98	172	1566
99	173	1557
100	173	1546
101	174	1535
102	175	1525
103	175	1514
104	176	1504
105	178	1502
106	179	1499
107	180	1491
108	181	1482
109	182	1473
110	182	1465
111	188	1490
112	189	1484
113	189	1476
114	190	1468
115	192	1463
116	193	1462
117	195	1459
118	196	1452
119	197	1446
120	198	1439
121	199	1434
122	201	1434
123	202	1429
124	203	1421
125	203	1414
126	204	1405
127	205	1400
128	208	1411
129	209	1404
130	210	1396
131	211	1393
132	216	1412
133	217	1406
134	218	1399
135	219	1392
136	219	1385
137	222	1392
138	223	1386
139	224	1380
140	225	1373
141	225	1364
142	226	1357
143	227	1350
144	228	1344
145	229	1344
146	230	1338
147	231	1332
148	232	1325
149	232	1319
150	233	1312
151	234	1306
152	235	1301
153	236	1299
154	238	1301
155	239	1296
156	240	1291
157	241	1286
158	242	1280
159	245	1287
160	247	1289
161	248	1287
162	250	1287
163	253	1290
164	254	1288
165	255	1283
166	258	1288
167	259	1286
168	260	1282
169	261	1277
170	262	1272
171	267	1286
172	268	1282
173	269	1277
174	270	1273
175	271	1269
176	271	1264
177	274	1267
178	275	1263
179	276	1259
180	277	1254
181	277	1248
182	278	1244
183	279	1240
184	281	1238
185	281	1233
186	282	1228
187	283	1223
188	284	1218
189	284	1214
190	285	1209
191	286	1204
192	287	1201
193	289	1200
194	289	1196
195	290	1192
196	291	1187
197	292	1183
198	292	1179
199	293	1175
200	295	1175
201	296	1171
202	297	1167
203	298	1163
204	298	1158
205	299	1154
206	300	1149
207	300	1145
208	301	1142
209	303	1142
210	304	1138
211	305	1134
212	305	1130
213	306	1126
214	307	1122
215	308	1119
216	310	1119
217	311	1116
218	312	1113
219	313	1110
220	314	1107
221	314	1103
222	315	1099
223	317	1099
224	318	1096
225	319	1092
226	319	1088
227	320	1084
228	320	1080
229	321	1076
230	322	1072
231	323	1071
232	324	1068
233	325	1065
234	326	1062
235	327	1058
236	327	1055
237	328	1051
238	329	1048
239	329	1044
240	331	1042
241	332	1040
242	333	1037
243	333	1034
244	334	1030
245	335	1027
246	335	1023
247	336	1020
248	337	1016
249	338	1014
250	339	1012
251	340	1009
252	340	1006
253	341	1003
254	342	1000
255	342	996
256	343	993
257	344	990
258	345	988
259	347	988
260	348	986
261	349	983
262	349	980
263	350	977
264	351	974
265	352	972
266	354	973
267	355	971
268	356	968
269	357	965
270	357	962
271	358	959
272	359	956
273	360	954
274	361	953
275	362	951
276	363	949
277	364	946
278	365	943
279	365	940
280	366	937
281	368	938
282	369	936
283	370	934
284	371	931
285	372	929
286	372	926
287	373	924
288	375	923
289	376	922
290	377	919
291	378	917
292	379	915
293	380	912
294	380	909
295	381	908
296	383	907
297	384	904
298	385	902
299	385	900
300	386	898
301	387	895
302	388	893
303	390	894
304	391	892
305	392	890
306	393	888
307	394	886
308	395	883
309	397	885
310	398	883
311	399	881
312	400	879
313	401	877
